"","p_grid","prior","likelihood","unstand_post","post"
"1",0,1,0,0,0
"2",0.01,1,8.15051159999997e-11,8.15051159999997e-11,8.15051102987169e-12
"3",0.02,1,5.059848192e-09,5.059848192e-09,5.05984783806363e-10
"4",0.03,1,5.58884438280001e-08,5.58884438280001e-08,5.58884399186035e-09
"5",0.04,1,3.04405807103999e-07,3.04405807103999e-07,3.04405785810814e-08
"6",0.05,1,1.1253046875e-06,1.1253046875e-06,1.12530460878494e-07
"7",0.06,1,3.25514507673601e-06,3.25514507673601e-06,3.25514484903862e-07
"8",0.07,1,7.94907092221201e-06,7.94907092221201e-06,7.94907036617451e-07
"9",0.08,1,1.7146784514048e-05,1.7146784514048e-05,1.71467833146304e-06
"10",0.09,1,3.3640196168124e-05,3.3640196168124e-05,3.36401938149923e-06
"11",0.1,1,6.12359999999999e-05,6.12359999999999e-05,6.12359957165418e-06
"12",0.11,1,0.000104907229275156,0.000104907229275156,1.04907221936895e-05
"13",0.12,1,0.000170928617029632,0.000170928617029632,1.70928605073175e-05
"14",0.13,1,0.000266991329381868,0.000266991329381868,2.66991310705825e-05
"15",0.14,1,0.000402293350201345,0.000402293350201345,4.02293322060925e-05
"16",0.15,1,0.0005876024765625,0.0005876024765625,5.87602435459707e-05
"17",0.16,1,0.000835289534693375,0.000835289534693375,8.35289476264873e-05
"18",0.17,1,0.00115933004592745,0.00115933004592745,0.000115932996483232
"19",0.18,1,0.00157527316148429,0.00157527316148429,0.000157527305129393
"20",0.19,1,0.00210017724373976,0.00210017724373976,0.000210017709683237
"21",0.2,1,0.002752512,0.002752512,0.000275251180746179
"22",0.21,1,0.00355202757266439,0.00355202757266439,0.000355202732420007
"23",0.22,1,0.00451959145705267,0.00451959145705267,0.000451959114090725
"24",0.23,1,0.00567699455507831,0.00567699455507831,0.000567699415797254
"25",0.24,1,0.00704672807937639,0.00704672807937639,0.000704672758645777
"26",0.25,1,0.0086517333984375,0.0086517333984375,0.000865173279324876
"27",0.26,1,0.0105151272587612,0.0105151272587612,0.00105151265232281
"28",0.27,1,0.0126599051350223,0.0126599051350223,0.0012659904249462
"29",0.28,1,0.0151086257437409,0.0151086257437409,0.00151086246868926
"30",0.29,1,0.0178830800099642,0.0178830800099642,0.00178830787590428
"31",0.3,1,0.021003948,0.021003948,0.00210039465307739
"32",0.31,1,0.0244904475262969,0.0244904475262969,0.00244904458131901
"33",0.32,1,0.0283599782931333,0.0283599782931333,0.00283599763093529
"34",0.33,1,0.0326277655838692,0.0326277655838692,0.0032627763301557
"35",0.34,1,0.0373065075921163,0.0373065075921163,0.00373065049825261
"36",0.35,1,0.0424060305703125,0.0424060305703125,0.00424060276040107
"37",0.36,1,0.0479329560098242,0.0479329560098242,0.0047932952656914
"38",0.37,1,0.0538903840768627,0.0538903840768627,0.00538903803072304
"39",0.38,1,0.06027759750818,0.06027759750818,0.00602775932917621
"40",0.39,1,0.0670897901197054,0.0670897901197054,0.00670897854267747
"41",0.4,1,0.074317824,0.074317824,0.00743178188014683
"42",0.41,1,0.0819480193486365,0.0819480193486365,0.00819480136163726
"43",0.42,1,0.0899619807773674,0.0899619807773674,0.00899619744845269
"44",0.43,1,0.0983364637192104,0.0983364637192104,0.00983364568405749
"45",0.44,1,0.107043284387365,0.107043284387365,0.0107043276899687
"46",0.45,1,0.116049276492187,0.116049276492187,0.0116049268374541
"47",0.46,1,0.125316297660266,0.125316297660266,0.0125316288894392
"48",0.47,1,0.134801288204985,0.134801288204985,0.0134801278775635
"49",0.48,1,0.144456384572817,0.144456384572817,0.0144456374468093
"50",0.49,1,0.154229089433987,0.154229089433987,0.0154229078645663
"51",0.5,1,0.1640625,0.1640625,0.0164062488523828
